Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
28,tt8398600,3/31/2019,3/31/2019,,After Life,https://www.imdb.com/title/tt8398600/,tvSeries,8.4,30,2019,"Comedy, Drama",89687,3/8/2019,
29,tt7909970,1/12/2020,1/12/2020,,Unbelievable,https://www.imdb.com/title/tt7909970/,tvMiniSeries,8.4,385,2019,"Crime, Drama",78614,9/13/2019,
30,tt8714904,3/3/2019,3/3/2019,,Narcos: México,https://www.imdb.com/title/tt8714904/,tvSeries,8.4,50,2018,"Crime, Drama",63462,11/16/2018,
31,tt6873658,3/31/2018,3/31/2018,,O Mecanismo,https://www.imdb.com/title/tt6873658/,tvSeries,8.4,41,2018,"Crime, Drama, Thriller",35634,3/23/2018,
32,tt6611916,3/31/2019,3/31/2019,,Kingdom,https://www.imdb.com/title/tt6611916/,tvSeries,8.4,45,2019,"Action, Drama, History, Horror, Thriller",32229,1/25/2019,
33,tt6905542,1/12/2020,1/12/2020,,The Dark Crystal: Age of Resistance,https://www.imdb.com/title/tt6905542/,tvSeries,8.4,60,2019,"Adventure, Drama, Family, Fantasy",22085,7/19/2019,
34,tt8688814,3/3/2019,3/3/2019,,The Dragon Prince,https://www.imdb.com/title/tt8688814/,tvSeries,8.4,26,2018,"Animation, Adventure, Drama, Family, Fantasy, Thriller",17859,9/14/2018,
35,tt10183988,5/8/2021,5/8/2021,,Julie and the Phantoms,https://www.imdb.com/title/tt10183988/,tvSeries,8.5,,2020,"Comedy, Family, Fantasy, Musical",7016,9/10/2020,
36,tt5863126,8/20/2018,8/20/2018,,Last Chance U,https://www.imdb.com/title/tt5863126/,tvSeries,8.4,55,2016,"Documentary, Sport",6316,7/29/2016,
37,tt6468322,1/12/2020,1/12/2020,,La casa de papel,https://www.imdb.com/title/tt6468322/,tvSeries,8.3,70,2017,"Action, Crime, Mystery, Thriller",327338,5/2/2017,
38,tt7767422,3/3/2019,3/3/2019,,Sex Education,https://www.imdb.com/title/tt7767422/,tvSeries,8.3,45,2019,"Comedy, Drama",169796,1/11/2019,
39,tt2431438,9/19/2016,9/19/2016,,Sense8,https://www.imdb.com/title/tt2431438/,tvSeries,8.3,60,2015,"Drama, Mystery, Sci-Fi, Thriller",142446,6/5/2015,
40,tt4635276,9/19/2016,9/19/2016,,Master of None,https://www.imdb.com/title/tt4635276/,tvSeries,8.3,30,2015,"Comedy, Drama",68933,11/6/2015,
41,tt6315640,8/21/2017,8/21/2017,,Atypical,https://www.imdb.com/title/tt6315640/,tvSeries,8.3,30,2017,"Comedy, Drama",63912,8/11/2017,
42,tt5516154,11/28/2017,11/28/2017,,Godless,https://www.imdb.com/title/tt5516154/,tvMiniSeries,8.3,452,2017,"Drama, Western",55670,11/22/2017,
43,tt3609352,9/19/2016,9/19/2016,,Grace and Frankie,https://www.imdb.com/title/tt3609352/,tvSeries,8.3,30,2015,Comedy,40458,5/8/2015,
44,tt1836037,9/19/2016,9/19/2016,,Longmire,https://www.imdb.com/title/tt1836037/,tvSeries,8.3,60,2012,"Action, Crime, Drama, Western",30080,6/3/2012,
45,tt4592410,9/19/2016,9/19/2016,,The Get Down,https://www.imdb.com/title/tt4592410/,tvSeries,8.3,52,2016,"Drama, Music, Musical",21311,8/12/2016,
46,tt11639414,5/8/2021,5/8/2021,,The Midnight Gospel,https://www.imdb.com/title/tt11639414/,tvSeries,8.3,23,2020,"Animation, Adventure, Comedy, Fantasy, Sci-Fi",13212,4/20/2020,
47,tt8080054,5/9/2020,5/9/2020,,Patriot Act with Hasan Minhaj,https://www.imdb.com/title/tt8080054/,tvSeries,8.3,25,2018,"Comedy, News, Talk-Show",6673,10/28/2018,
48,tt5180504,1/12/2020,1/12/2020,,The Witcher,https://www.imdb.com/title/tt5180504/,tvSeries,8.2,60,2019,"Action, Adventure, Fantasy, Mystery",319078,12/20/2019,
49,tt1637727,9/19/2016,9/19/2016,,The Killing,https://www.imdb.com/title/tt1637727/,tvSeries,8.2,45,2011,"Crime, Drama, Mystery, Thriller",100755,4/3/2011,
50,tt6517102,7/16/2017,7/16/2017,,Castlevania,https://www.imdb.com/title/tt6517102/,tvSeries,8.3,23,2017,"Animation, Action, Adventure, Fantasy, Horror",47396,7/7/2017,
51,tt6877772,9/26/2017,9/26/2017,,American Vandal,https://www.imdb.com/title/tt6877772/,tvSeries,8.2,34,2017,"Comedy, Crime, Drama, Mystery",27513,9/15/2017,
52,tt7768848,8/20/2018,8/20/2018,,Wild Wild Country,https://www.imdb.com/title/tt7768848/,tvMiniSeries,8.2,403,2018,"Documentary, Crime",26049,1/31/2018,
53,tt7255502,3/3/2019,3/3/2019,,The Kominsky Method,https://www.imdb.com/title/tt7255502/,tvSeries,8.2,30,2018,"Comedy, Drama",27500,11/10/2018,
